input_date_cctv,input_time_cctv,site,weigh_wood,correlation_class,class,int_class,image_hash,lg_class,cosine_class,precision
2022-04-22,18:10:26,KBR,9140.0,0.209777369749828,mixed_wood_special,1.0,7638ce82417480f8d27d80922ddcfb44.jpg,mixed_wood_special,0.18852313,1
2022-04-22,05:52:43,TN,2440.0,0.0560018361257746,mixed_wood_special,1.0,b0d4f1993f55622fdd49edb219c6a805.jpg,mixed_wood_special,0.13101068,1
2022-04-07,07:07:08,TN,3440.0,0.0789534083084691,mixed_wood_special,1.0,b9221b5febb3b523f1df3a6888d7be57.jpg,mixed_wood_special,0.17041582,1
2022-04-18,15:25:25,KBR,11360.0,0.26072985999541,mixed_wood_special,1.0,dd7824bab7cb3c0750cbcc295f292f0d.jpg,mixed_wood_special,0.1767081,1
2022-04-24,19:52:03,KBR,7000.0,0.160661005278862,mixed_wood_special,1.0,1f996a6e7011ac0449e12a253278a8bb.jpg,mixed_wood_special,0.16907339,1
2022-04-25,14:06:21,KBR,6300.0,0.144594904750975,mixed_wood_special,1.0,3d4019a0c0f850612f1c439894d634bf.jpg,mixed_wood_special,0.17465968,1
2022-04-16,18:10:58,KBR,5050.0,0.115905439522607,mixed_wood_special,1.0,a0cccce372b3c9821a08f93bde6ba46b.jpg,mixed_wood_special,0.13468349,1
2022-04-18,11:56:25,KBR,11350.0,0.260500344273583,mixed_wood_special,1.0,748c57b0a4f56b17a32e29c2e84d61f8.jpg,mixed_wood_special,0.17584135,1
2022-04-26,12:24:47,TN,3440.0,0.0789534083084691,mixed_wood_special,1.0,c57e36dbb7add4c1a78cc7b7e1b42a38.jpg,mixed_wood_special,0.08574689999999999,1
2022-04-23,12:22:41,KBR,11600.0,0.266238237319256,mixed_wood_special,1.0,05396ad86be1803b990bd182dc51ea25.jpg,mixed_wood_special,0.17047520000000002,1
2022-04-10,17:00:44,KBR,2940.0,0.0674776222171218,mixed_wood_special,1.0,eae6e3d5300f700e5ccc5d79b0d1216e.jpg,mixed_wood_special,0.17204416,1
