input_date_cctv,input_time_cctv,site,weigh_wood,correlation_class,class,int_class,image_hash,lg_class,cosine_class,precision
29/10/2022,21:57:18,TN,17590,0.403718155,mixed_wood_special,1,cde95fd8623eea54a2d551fd54c9c652.jpg,mixed_wood_special,0.43269655,1
29/10/2022,23:54:46,TN,9600,0.220335093,mixed_wood_special,1,e4870c863dabe4e5dfe3ef8ec7d53534.jpg,mixed_wood_special,0.23012972,1
1/11/2022,12:27:36,TN,5050,0.11590544,mixed_wood_special,1,d25d98fd7f1ff1436517dc02d31f71d4.jpg,mixed_wood_special,0.11100887,1
1/11/2022,10:08:39,TN,17590,0.403718155,mixed_wood_special,1,0d32a8b112a6dcf68a6ca9c1fb2219ee.jpg,mixed_wood_special,0.20546241,1
1/11/2022,16:07:36,KBR,7550,0.17328437,mixed_wood_special,1,87fe1c17f4159e1c286835f214af6698.jpg,mixed_wood_special,0.16713871,1
1/11/2022,10:38:37,TN,10970,0.251778747,mixed_wood_special,1,677b2281554be06758989bf009eef4dd.jpg,mixed_wood_special,0.15829267,1
1/11/2022,06:31:03,TN,3710,0.085150333,mixed_wood_special,1,0f4f8fd09da2f2803979de7cdac05159.jpg,mixed_wood_special,0.12176136,1
1/11/2022,08:51:39,TN,2660,0.061051182,mixed_wood_special,1,92ccc6d2f1e5fddb73114dfa0fcddcd4.jpg,mixed_wood_special,0.08227258,1
1/11/2022,18:54:06,TN,3450,0.079182924,mixed_wood_special,1,dc934718c6e7d4480e8fa6cedf9c8653.jpg,mixed_wood_special,0.2409578,1
1/11/2022,14:57:34,TN,2670,0.061280698,mixed_wood_special,1,357d33a6d405c8e1f94a864ccd32209e.jpg,mixed_wood_special,0.127251,1
1/11/2022,11:52:44,KBR,2500,0.05737893,mixed_wood_special,1,9f037784bbfd5d52de1a520800a3e814.jpg,mixed_wood_special,0.15750638,1
1/11/2022,14:44:52,TN,2660,0.061051182,mixed_wood_special,1,4771027c7010adec8fad277681b2426d.jpg,mixed_wood_special,0.12977959,1
1/11/2022,11:24:46,KBR,4590,0.105347716,mixed_wood_special,1,805bbab5e89f0d74c93ed362e3109dfd.jpg,mixed_wood_special,0.18188953,1
1/11/2022,18:22:19,TN,15210,0.349093413,mixed_wood_special,1,5cdb3ff54760ae31c9ce1a244778aa18.jpg,mixed_wood_special,0.1963503,1
1/11/2022,10:59:53,KBR,26050,0.597888455,mixed_wood_special,1,e571ce42d13ccceeeaa4bcb0063350d4.jpg,mixed_wood_special,0.15245216,1
1/11/2022,16:17:01,KBR,2110,0.048427817,mixed_wood_special,1,cb3c125ecd719fc0c7c1c926bae9f43a.jpg,mixed_wood_special,0.1606,1
1/11/2022,11:43:50,TN,1680,0.038558641,mixed_wood_special,1,f7e2459e740ebcf9a9354e403eb6f61e.jpg,mixed_wood_special,0.13383003,1
1/11/2022,19:27:34,TN,5500,0.126233647,mixed_wood_special,1,4806cef5de08efbf11c6c1997075f0e1.jpg,mixed_wood_special,0.26047078,1
1/11/2022,14:36:32,TN,3320,0.07619922,mixed_wood_special,1,36356c730cfbc2bbb641a7583e02d63f.jpg,mixed_wood_special,0.1242301,1
1/11/2022,12:54:08,KBR,27150,0.623135185,mixed_wood_special,1,c453869454bc6377354207970f45d539.jpg,mixed_wood_special,0.16359606,1
